dc_metro_name,mean_lon,mean_lat
Addison Rd,-76.895818,38.886732
Anacostia,-76.9951935,38.8621455
Archives,-77.02255,38.893951
Arlington Cemetery,-77.0636745,38.884388
Ballston-MU,-77.111312,38.881915
Benning Rd,-76.937335,38.890327
Bethesda,-77.094282,38.984569
Braddock Rd,-77.053747,38.813676
Branch Ave,-76.912516,38.827145
Brookland-CUA,-76.994337,38.9335
Capitol Heights,-76.913324,38.889211
Capitol South,-77.006074,38.885694
Cheverly,-76.916699,38.916169
Clarendon,-77.095131,38.88717
College Park-U of Md,-76.9284925,38.978282
Columbia Heights,-77.033143,38.928622
Congress Heights,-76.9881335,38.8446505
Court House,-77.0849985,38.8915065
Crystal City,-77.051292,38.858016
Deanwood,-76.9349025,38.908469
Dunn Loring,-77.228438,38.882831
Dupont Circle,-77.0440495,38.90983
East Falls Church,-77.156498,38.885883
Eastern Market,-76.995723,38.884217
Eisenhower Ave,-77.070941,38.8005385
Farragut North,-77.03970233,38.90341
Farragut West,-77.040544,38.9013545
Federal Center SW,-77.015509,38.88488
Federal Triangle,-77.02927,38.893815
Foggy Bottom-GWU,-77.050331,38.900873
Forest Glen,-77.043646,39.015336
Fort Totten,-77.002313,38.952177
Franconia-Springfield,-77.169181,38.766763
Friendship Heights,-77.085473,38.959729
Gallery Place,-77.022439,38.89842633
Georgia Ave-Petworth,-77.024122,38.93702
Glenmont,-77.0533865,39.062065
Greenbelt,-76.910901,39.010912
Greensboro,-77.233581,38.920897
Grosvenor-Strathmore,-77.103714,39.028909
Huntington,-77.075317,38.793748
Judiciary Square,-77.017566,38.897211
King St-Old Town,-77.061285,38.806286
LEnfant Plaza,-77.0252,38.8839
Landover,-76.891159,38.933438
Largo Town Center,-76.84482,38.90058
McLean,-77.208334,38.924593
McPherson Square,-77.033385,38.9011835
Medical Center,-77.09795,38.999066
Metro Center,-77.02820375,38.89798775
Minnesota Ave,-76.946954,38.898621
Morgan Blvd,-76.868431,38.893588
Mt. Vernon,-77.022064,38.905554
Navy Yard-Ballpark,-77.005889,38.876425
Naylor Rd,-76.956856,38.851012
New Carrollton,-76.871716,38.947958
NoMa-Galllaudet,-77.003254,38.90731
Pentagon,-77.0539,38.8693
Pentagon City,-77.059518,38.862613
Potomac Ave,-76.985197,38.880784
Prince George s Plaza,-76.956119,38.965325
Rhose Island Ave,-76.995984,38.920576
Rockville,-77.1463175,39.0844695
Ronald Reagan Washington National Airport,-77.0440415,38.8535085
Rosslyn,-77.07169,38.89586
Shady Grove,-77.164963,39.119919
Shaw-Howard U,-77.0222635,38.913631
Silver Spring,-77.031211,38.993771
Smithsonian,-77.0284435,38.8882555
Southern Ave,-76.975813,38.840465
Spring Hill,-77.2412515,38.92884
Stadium-Armory,-76.9770935,38.887
Suitland,-76.932183,38.844268
Takoma,-77.017436,38.97509
Tenleytown-AU,-77.0797495,38.9482065
Twinbrook,-77.12068,39.0623425
Tysons Corner,-77.2222695,38.9202165
U St,-77.0275555,38.916929
Union Station,-77.007178,38.8987125
Van Dorn St,-77.128454,38.799528
Van Ness-UDC,-77.0638325,38.9446145
Vienna,-77.2714085,38.8778445
Virginia Square-GMU,-77.103295,38.882824
Waterfront,-77.017572,38.877045
West Falls Church,-77.1890405,38.9007125
West Hyattsville,-76.968837,38.955708
Wheaton,-77.050663,39.038451
White Flint,-77.112563,39.047458
Wiehle-Reston,-77.339819,38.946868
Woodley Park,-77.052371,38.924456
