,n_epochs,losses
0,0,1.8480491638183594
1,1,1.807978630065918
2,2,1.7753218412399292
3,3,1.7466707229614258
4,4,1.7210965156555176
5,5,1.6961554288864136
6,6,1.6698241233825684
7,7,1.6422324180603027
8,8,1.6140285730361938
9,9,1.5839875936508179
10,10,1.5523635149002075
11,11,1.518984317779541
12,12,1.4833602905273438
13,13,1.4457985162734985
14,14,1.4063239097595215
15,15,1.364638328552246
16,16,1.3216767311096191
17,17,1.2773445844650269
18,18,1.232272744178772
19,19,1.1865077018737793
20,20,1.1395363807678223
21,21,1.0923504829406738
22,22,1.0461982488632202
23,23,1.0004143714904785
24,24,0.9551195502281189
25,25,0.9098504185676575
26,26,0.8642603754997253
27,27,0.8187878727912903
28,28,0.7739151120185852
29,29,0.7299005389213562
30,30,0.6869472861289978
31,31,0.6453208327293396
32,32,0.6052922606468201
33,33,0.5664071440696716
34,34,0.5289174914360046
35,35,0.49306538701057434
36,36,0.4590683877468109
37,37,0.4265715181827545
38,38,0.3958183228969574
39,39,0.3667577803134918
40,40,0.3396202325820923
41,41,0.31442567706108093
42,42,0.2908739447593689
43,43,0.26903286576271057
44,44,0.24906796216964722
45,45,0.2306286245584488
46,46,0.21343351900577545
47,47,0.1974031925201416
48,48,0.18248260021209717
49,49,0.16871808469295502
50,50,0.15599790215492249
51,51,0.14425790309906006
52,52,0.13340459764003754
53,53,0.12333004921674728
54,54,0.11414936929941177
55,55,0.1057056188583374
56,56,0.09790858626365662
57,57,0.09077221900224686
58,58,0.08422544598579407
59,59,0.07824034988880157
60,60,0.07284735888242722
61,61,0.06790602952241898
62,62,0.06338359415531158
63,63,0.05926189944148064
64,64,0.05546078458428383
65,65,0.05196579173207283
66,66,0.04875485226511955
67,67,0.04582040011882782
68,68,0.04317416250705719
69,69,0.040745191276073456
70,70,0.03850002959370613
71,71,0.0364336296916008
72,72,0.03451983258128166
73,73,0.03275875374674797
74,74,0.03114078938961029
75,75,0.029647832736372948
76,76,0.028269479051232338
77,77,0.02698834426701069
78,78,0.025794388726353645
79,79,0.02468014694750309
80,80,0.02364088036119938
81,81,0.02268536575138569
82,82,0.021797427907586098
83,83,0.02095932327210903
84,84,0.02016819827258587
85,85,0.01943081058561802
86,86,0.018742816522717476
87,87,0.018094750121235847
88,88,0.017482534050941467
89,89,0.016908908262848854
90,90,0.01636824756860733
91,91,0.015854952856898308
92,92,0.015370573848485947
93,93,0.01490976382046938
94,94,0.014475331641733646
95,95,0.014062569476664066
96,96,0.013671625405550003
97,97,0.013299715705215931
98,98,0.0129443584010005
99,99,0.01260636281222105
